stateAbbreviation,city1,city2,city3,city4,city5
AL,Birmingham,Montgomery,Huntsville,Mobile,Tuscaloosa
AK,Anchorage,Juneau,Fairbanks,Wasilla,Sitka
AS,Tafuna,Nu'uuli,Pago Pago,'Ili'ili,Pava'ia'i
AZ,Phoenix,Tucson,Mesa,Chandler,Scottsdale
AR,Little Rock,Fort Smith,Fayetteville,Springdale,Jonesboro
CA,Los Angeles,San Diego,San Jose,San Francisco,Fresno
CO,Denver,Colorado Springs,Aurora,Fort Collins,Lakewood
CT,Bridgeport,New Haven,Stamford,Hartford,Waterbury
DE,Wilmington,Dover,Newark,Middletown,Smyrna
FL,Jacksonville,Miami,Tampa,Orlando,St. Petersburg
GU,Dededo,Yigo,Tamuning,Mangilao,Barrigada
HI,Honolulu,East Honolulu,Pearl City,Hilo,Kailua
ID,Boise,Meridian,Nampa,Idaho Falls,Caldwell
IL,Chicago,Aurora,Naperville,Joliet,Rockford
IN,Indianapolis,Fort Wayne,Evansville,South Bend,Carmel
IA,Des Moines,Cedar Rapids,Davenport,Sioux City,Iowa City
KS,Wichita,Overland Park,Kansas City,Olathe,Topeka
KY,Louisville,Lexington,Bowling Green,Owensboro,Covington
LA,New Orleans,Baton Rouge,Shreveport,Lafayette,Lake Charles
ME,Portland,Lewiston,Bangor,South Portland,Auburn
MD,Baltimore,Frederick,Gaithersburg,Rockville,Bowie
MA,Boston,Worcester,Springfield,Cambridge,Lowell
MI,Detroit,Grand Rapids,Warren,Sterling Heights,Ann Arbor
MN,Minneapolis,Saint Paul,Rochester,Duluth,Bloomington
MS,Jackson,Gulfport,Southaven,Biloxi,Hattiesburg
MO,Kansas City,Saint Louis,Springfield,Columbia,Independence
MT,Billings,Missoula,Great Falls,Bozeman,Butte
NE,Omaha,Lincoln,Bellevue,Grand Island,Kearney
NV,Las Vegas,Henderson,Reno,North Las Vegas,Sparks
NH,Manchester,Nashua,Concord,Dover,Rochester
NJ,Newark,Jersey City,Paterson,Elizabeth,Clifton
NM,Albuquerque,Las Cruces,Rio Rancho,Santa Fe,Roswell
NC,Charlotte,Raleigh,Greensboro,Durham,Winston-Salem
ND,Fargo,Bismarck,Grand Forks,Minot,West Fargo
OH,Columbus,Cleveland,Cincinnati,Toledo,Akron
OK,Oklahoma City,Tulsa,Norman,Broken Arrow,Edmond
OR,Portland,Salem,Eugene,Gresham,Hillsboro
PA,Philadelphia,Pittsburgh,Allentown,Erie,Reading
PR,San Juan,Bayamón,Carolina,Ponce,Caguas
RI,Providence,Cranston,Warwick,Pawtucket,East Providence
SC,Charleston,Columbia,North Charleston,Mount Pleasant,Rock Hill
SD,Sioux Falls,Rapid City,Aberdeen,Brookings,Watertown
TN,Nashville,Memphis,Knoxville,Chattanooga,Clarksville
TX,Houston,San Antonio,Dallas,Austin,Fort Worth
UT,Salt Lake City,West Valley City,Provo,West Jordan,Orem
VT,Burlington,South Burlington,Rutland,Barre,Montpelier
VA,Virginia Beach,Norfolk,Chesapeake,Richmond,Newport News
WV,Charleston,Huntington,Morgantown,Parkersburg,Wheeling
WI,Milwaukee,Madison,Green Bay,Kenosha,Racine
WY,Cheyenne,Casper,Laramie,Gillette,Rock Springs
