restaurantName,rating,reviewText
Saw’s Soul Kitchen,5,We have been here a few times when we make our way to Birmingham. It is literally the best BBQ I've ever had. Can't wait to come back! Also love the pulled chicken sandwich and the bbq chicken thighs!
Saw’s Soul Kitchen,4,"Was on a road trip and saw this on Yelp so decided to give it a try. The potato salad was solid...  the kind I like with a bit of tang but not sweet. The bbq pork sandwich was the best thing we ordered. The pork is super tender and chopped into nice bits. We got it with the white sauce which we liked. My daughter had the loaded baked potato which she said was good, but nothing out of the ordinary. We also got the fried pickles. Those LOOKED better than they tasted but I acknowledge that it was probably because we did take out instead of dine in. I better they are great hot. Overall the sandwich made it a worthwhile stop!"
Saw’s Soul Kitchen,5,"Amazing spot! Wayman was so hospitable and educating about the menu. Pulled pork on cheese grits and collard greens - PHENOMENAL. Also had a mix of fried green tomatoes and pickles, both of which were unwise. Light batter, perfect crisp.Don't skimp on the banana pudding!!"
Saw’s Soul Kitchen,5,"Oh my goodness!!!! Absolutely my number one, top spot for a pulled pork sandwich!!!!!! Wish they had a location out of state. Moist, flavorful and perfect!"
Saw’s Soul Kitchen,4,"Great hole in the wall southern comfort food. I tried fried green tomatoes and they are the best! I can't find any that are just like it! There's a whole wall written of the menu. You can get brisket, pulled whatever, beans, Mac and cheese EVERYTHING! your order at the counter and they call you when it's ready. There aren't many places to sit, but that's ok, you can sit outside and enjoy Birmingham weather. This is not that expensive, down home and delicious. I loved this meal!"
Saw’s Soul Kitchen,4,"Very good but not the best I've had in Birmingham. Got to try the pulled pork sandwich, fried green tomatoes, and cheesy grits. The fried green tomatoes were excellent, but I've only ever had them twice in my life, so it's hard for me to compare. The sauce paired really well with the tomatoes.The meat in the sandwich was cooked perfectly. Tender and juicy. The flavor could've been dialed up a notch though.I thought the grits were good, but they were a bit runny and watery. Overall, it was a delicious meal, but if I'm in Birmingham for just a few days, Mo's and Jim and Nick's would be higher on my priority list."
Saw’s Soul Kitchen,5,"OMG! Lol the hype over Chick-Fil-A... Popeyes.. Stops here. One of the best Chicken sandwiches I've had hands down! I had the fried Green tomatoes as a side, and my lady had the fried pickles as a side (both had upcharges, come with fries standard) Everything was amazing. The Sweet Tea Chicken sandwiches are fried perfectly with a breading that is enough but not thick at all. The white bbq sauce they put on top was delectable. The flavor was unmatched! The pickles were definitely the better side but the Green tomatoes left little to be desired as well! Also they both had their own special sauces! I also decided to put a little of their house bbq sauce on the side to dip my sandwich. Everything was 5 stars easily. Left nothing to be desired, and I actually ate the rest of my ladies food because she was full! 5/5 The only thing that could be better about this restaurant is a better set up ( people in line constantly knocked into us and our table making it quite uncomfortable. ) The location of the counter is really weird, and the seating is extremely limited. Nevertheless, the food made it all worth it definitely. I'd also suggest them to add some type of house made lemonade instead of the standard fountain drinks."
Saw’s Soul Kitchen,4,"Saw's soul kitchen , a phenomenal hole in the wall in Avondale! I had  been to Saw's on several occasions , but just never took the time to review those previous  experiences.  The food is always , always prepared to order and delicious. This review isn't  5 stars ONLY because sometimes the customer service experience has been spotty with the rude cashier lady.  On this last visit, she was not there! Maybe she got fired or found something that doesn't involve dealing  with servicing the public . Let's be honest, it's not for everyone! Fast forward to my visit on 8/15/19.  The lady who took my order was very engaged, she asked me probing questions like , ""how hungry are you?"" This helped me to decide what to order .  She even talked to us about the paid  parking lot and ensured us that our car wouldn't get towed due to the machine not working.  Anyway, I digress- - I primarily went for their whole fried okra , which is so pretty and almost too pretty to eat BUT I ate it with a smile ... a very BIG one!!! I mean , this okra is fried golden brown and so tasty!!  I also had a pork sandwich but the real MVP  here was the okra!  She rang me up A la Carte to save me few cents .  Much appreciated! Great food and atmosphere!!! I'll be back for more okra before their out of season!!"
Saw’s Soul Kitchen,5,"Wow wow wow. Some of the best barbecue I've had in ages. The pulled pork is incredible, fried pickles are AMAZING (especially with the spicy dipping sauce), and the deviled eggs are solid, too.Lots of friends have raves about the wings, so I'm adding that to my list for next time.I came around 2pm on a Friday and there were a few people in line, but we ordered and got our food in probably 15 minutes so not too bad of a wait.The restaurant is small, maybe 8 tables inside, but there are a few outside tables as well. You can also get your food to-go and take it over to Avondale Brewing next door.Love this place and can't wait to go back!"
Saw’s Soul Kitchen,5,"We have been coming to Saw's for years when we're in town and I think I have never reviewed it before because I'm usually in the happiest food coma after we leave! One, their location is awesomely, conveniently located next to Avondale Brewery, which allows you to bring food in to enjoy with your (various) beers! There is usually always a line when we are here and we've been here at least 10 times. I don't mind the wait, it really just supports how how busy this amazing-hole-in-the-wall-best-bbq-ever place always is!I usually am set on my go-to pulled pork sandwich but I recently just tried the smoked chicken sandwich, and both were equally fantastic. The pulled pork is always cooked to perfection and I love the tangy sauce on top. The smoked chicken sandwich was so moist, served extra hot and the white bbq sauce was such a great compliment. I got extra sauce, obviously, and extra pickles because that's how I roll. I got the potato salad on the side which was creamy and tasted homemade. I jacked a few fries off my husband's plate too because they were staring at me...not my fault... staring is rude. Five stars all the way! Saw's, open a location in Illinois and we'll be your number one customers!!"
